-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.117,  0.247
-183.796, 80.186, 0.243,  0.280
-183.791, 80.176, 0.313,  0.313
-183.785, 80.162, 0.426,  0.346
-183.774, 80.142, 0.569,  0.379
-183.759, 80.120, 0.666,  0.412
-183.741, 80.094, 0.818,  0.445
-183.719, 80.064, 0.961,  0.478
-183.695, 80.031, 1.077,  0.511
-183.666, 79.994, 1.191,  0.544
-183.634, 79.955, 1.303,  0.577
-183.599, 79.913, 1.423,  0.610
-183.562, 79.868, 1.547,  0.643
-183.523, 79.820, 1.662,  0.676
-183.482, 79.770, 1.759,  0.709
-183.441, 79.718, 1.833,  0.742
-183.399, 79.665, 1.880,  0.775
-183.356, 79.611, 1.915,  0.808
-183.314, 79.558, 1.927,  0.841
-183.272, 79.505, 1.922,  0.874
-183.230, 79.453, 1.904,  0.907
-183.189, 79.402, 1.876,  0.940
-183.148, 79.354, 1.821,  0.973
-183.108, 79.307, 1.769,  1.006
-183.069, 79.261, 1.722,  1.039
-183.031, 79.218, 1.683,  1.072
-182.993, 79.175, 1.652,  1.105
-182.955, 79.133, 1.631,  1.138
-182.917, 79.092, 1.618,  1.171
-182.880, 79.051, 1.613,  1.204
-182.842, 79.010, 1.616,  1.237
-182.803, 78.969, 1.626,  1.270
-182.765, 78.928, 1.641,  1.303
-182.726, 78.886, 1.660,  1.336
-182.687, 78.844, 1.682,  1.369
-182.647, 78.801, 1.704,  1.402
-182.607, 78.758, 1.725,  1.435
-182.567, 78.714, 1.743,  1.468
-182.527, 78.670, 1.757,  1.501
-182.487, 78.626, 1.768,  1.534
-182.447, 78.582, 1.774,  1.567
-182.407, 78.537, 1.777,  1.600
-182.367, 78.492, 1.777,  1.633
-182.327, 78.448, 1.775,  1.666
-182.288, 78.403, 1.772,  1.699
-182.249, 78.358, 1.768,  1.732
